Analysis,avg_d13C12C,avg_calib_d18O16O,biotic,pred
2960,-13.8290362166667,-3.70052951684039,biotic,biotic
2961,-11.96684183,-6.60157325789624,biotic,biotic
2962,-10.9508220488889,-5.95720625248031,biotic,abiotic
2963,-11.9216775244444,-6.65173557578918,biotic,biotic
2965,-13.5663817422222,-3.66365417049865,biotic,biotic
2966,-11.0984557555556,-5.80027647405,biotic,abiotic
2968,-11.09186659,-3.72579385923096,biotic,biotic
2970,-13.5696767455556,-3.79178303528136,biotic,abiotic
2973,-13.7576544955556,-3.77381790790443,biotic,biotic
2975,-10.2737282127778,-5.79561361685642,biotic,biotic
2976,-11.9509188055556,-6.22151965891514,biotic,biotic
2977,-13.3457517511111,-3.76604193186088,biotic,abiotic
2979,-11.2055678511111,-3.77877513027249,biotic,biotic
2983,-11.9094940433333,-6.06818328268206,biotic,biotic
2985,-11.3102270755556,-3.7964238530858,biotic,biotic
2986,-13.6740059855556,-3.91727710797141,biotic,biotic
2989,-10.3650724955556,-5.70183980343995,biotic,biotic
2990,-11.26257598,-3.79881706011412,biotic,biotic
2992,-11.8644605866667,-6.05822864160686,biotic,biotic
2993,-13.74228158,-3.93635452423763,biotic,biotic
2996,-11.8389821211111,-5.9357224483616,biotic,abiotic
2998,-10.3390775655556,-5.63586634751113,biotic,biotic
3001,-13.6396812322222,-3.91201188293419,biotic,abiotic
3231,-10.9971480411111,-3.19761621544598,abiotic,abiotic
3232,-13.6706194344444,-3.28436408850413,abiotic,abiotic
3234,-13.8909242133333,-3.25223805853578,abiotic,abiotic
3240,-11.9224540866667,-5.87425193576117,abiotic,abiotic
3241,-11.6328333,-5.93134208148599,abiotic,abiotic
3242,-11.9435554822222,-5.8227882564505,abiotic,abiotic
3250,-11.9772244633333,-5.81403476600558,abiotic,abiotic
3253,-10.99595332,-3.31356948623517,abiotic,abiotic
3255,-13.9277736444444,-3.50628188533695,abiotic,abiotic
3256,-13.9307178944444,-3.4137370266339,abiotic,abiotic
3257,-11.0114897066667,-3.34575934910761,abiotic,abiotic
3259,-11.6663239122222,-5.88423964372682,abiotic,abiotic
3260,-11.94201558,-5.87336358017397,abiotic,abiotic
3261,-13.7067253755556,-3.32440287646906,abiotic,abiotic
3267,-11.0068601133333,-3.30270787778677,abiotic,abiotic
3268,-13.7229123266667,-3.35002829763989,abiotic,abiotic
3269,-13.9575394433333,-3.36627840915257,abiotic,abiotic
3272,-11.4776983711111,-5.63386609346866,abiotic,abiotic
4922,-12.6112682111111,-3.83658314858066,abiotic,abiotic
4924,-11.7179595922222,-5.76046629603672,abiotic,abiotic
4925,-12.5436626533333,-3.80412392539781,abiotic,abiotic
4929,-12.8425105255556,-4.07531668579691,abiotic,abiotic
4932,-12.8629341011111,-4.14104581892315,abiotic,abiotic
4933,-11.6455319177778,-5.73796392791507,abiotic,abiotic
4934,-11.5652036833333,-5.68176271719334,abiotic,abiotic
4935,-13.29435136,-3.58679472475806,abiotic,abiotic
4936,-13.6391286377778,-3.79255012758458,abiotic,biotic
4937,-11.43668076,-5.90004503305934,abiotic,abiotic
4940,-12.3595107522222,-4.22644692622967,abiotic,abiotic
4941,-11.4774773222222,-5.90620978443084,abiotic,abiotic
4942,-10.8529056511111,-3.64848477641137,abiotic,abiotic
4946,-13.6549201588889,-3.94992497578586,abiotic,biotic
4947,-12.8719624033333,-4.23621009787225,abiotic,abiotic
4949,-11.0291228777778,-5.88891920226538,abiotic,biotic
4950,-11.4443450155556,-5.95463653667767,abiotic,abiotic
4951,-11.6667473933333,-5.7685041581844,abiotic,abiotic
4954,-13.2751957955556,-3.76626920716516,abiotic,abiotic
4958,-10.94239987,-6.01549429750943,abiotic,biotic
4959,-12.3125902922222,-4.32457031085112,abiotic,abiotic
4960,-13.5870289188889,-3.87678049887967,abiotic,biotic
4961,-13.57004513,-3.96888757958077,abiotic,biotic
4962,-12.4682382377778,-4.25204381249004,abiotic,abiotic
4965,-10.8803509522222,-3.85178864981149,abiotic,abiotic
4966,-11.67497735,-5.98839866041489,abiotic,abiotic
4968,-12.8276289988889,-4.30893120550564,abiotic,abiotic
4970,-12.8506424911111,-4.38973129266472,abiotic,abiotic
4973,-13.23010514,-3.8575616554598,abiotic,abiotic
5758,-13.5335501044444,-7.9768748849326,abiotic,abiotic
5759,-13.2846818522222,-10.1686353268575,abiotic,abiotic
5763,-13.9018757744444,-6.11698228733969,abiotic,abiotic
5764,-13.7644252366667,-6.21096540107366,abiotic,abiotic
5766,-13.7208484333333,-6.12338811321449,abiotic,abiotic
5768,-13.5662299222222,-7.95110675193764,abiotic,abiotic
5769,-13.44253789,-7.86573373799808,abiotic,abiotic
5771,-12.7947493611111,-7.94117667500583,abiotic,abiotic
5776,-13.6726681911111,-6.24861019520831,abiotic,abiotic
5779,-13.6196433355556,-5.99570814991453,abiotic,abiotic
5780,-13.4117764722222,-8.091729332851,abiotic,abiotic
5782,-13.8658994277778,-6.2671157263973,abiotic,abiotic
5878,-11.9948002655556,-3.633326456861,abiotic,abiotic
5879,-12.2129438855556,-3.43363182878474,abiotic,abiotic
5880,-13.3206457833333,-4.9228432953635,abiotic,abiotic
5881,-12.7939959222222,-9.09864227687732,biotic,abiotic
5882,-12.9343480177778,-4.17740609891797,biotic,abiotic
5884,-13.40334027,-6.23568134608961,biotic,abiotic
5885,-14.1197496866667,-4.79252651844693,biotic,biotic
5886,-13.3951511355556,-4.66788359327839,abiotic,abiotic
5887,-14.4639111677778,-5.21766533291875,biotic,biotic
5889,-14.0011941722222,-4.78070471990753,biotic,biotic
5892,-13.8770578611111,-4.53977599927385,biotic,abiotic
5893,-14.2222362744444,-4.36113957482606,biotic,biotic
5894,-13.88241379,-9.19300843342697,biotic,abiotic
5895,-12.7778489244444,-4.01983089224571,abiotic,biotic
5896,-11.8138891344444,-9.01734267527164,abiotic,abiotic
5897,-13.0732741055556,-6.12332150584592,biotic,abiotic
5900,-13.28340894,-4.05528907368327,abiotic,abiotic
5901,-13.73440853,-3.99050857663446,biotic,biotic
5902,-11.9708312855556,-4.13610349331252,abiotic,abiotic
5903,-13.59482443,-4.7065285616054,abiotic,abiotic
5904,-13.5681928077778,-4.72593351301551,abiotic,abiotic
5905,-12.7420485355556,-9.19911294402074,abiotic,abiotic
5909,-14.0077872922222,-5.04132891067672,biotic,abiotic
5911,-14.4051679477778,-4.52019690875584,biotic,biotic
5912,-12.7787199188889,-3.99195312862366,biotic,abiotic
5914,-13.2214460744444,-3.87639700288703,abiotic,abiotic
5916,-12.8467010966667,-9.25384792675155,biotic,abiotic
5917,-13.6182948933333,-9.25398904284702,biotic,abiotic
5918,-14.3813446355556,-4.251020008532,biotic,abiotic
5919,-12.82891191,-4.11026675845218,abiotic,abiotic
5924,-14.0000233044444,-4.67214537975989,abiotic,biotic
5925,-13.9718803511111,-5.21432665662646,abiotic,biotic
5926,-14.51034268,-4.8405025822163,biotic,biotic
5928,-14.2175604811111,-4.84770491518785,abiotic,biotic
5929,-13.8286447677778,-3.94140496387377,biotic,biotic
5930,-12.77259119,-3.95396866027045,abiotic,biotic
5931,-13.4642392711111,-4.70840999563608,abiotic,abiotic
5934,-12.8346836711111,-9.21236123494659,abiotic,biotic
5935,-13.13631343,-3.8980339094356,biotic,abiotic
5937,-14.43012816,-4.27382272685646,abiotic,biotic
5938,-13.3991076433333,-3.95494500748804,biotic,abiotic
5939,-12.70876074,-4.13391047820502,biotic,abiotic
5941,-12.7644943266667,-4.3428777910565,abiotic,abiotic
5944,-12.9037756011111,-3.86725459837792,biotic,abiotic
5945,-12.8055664011111,-3.6754693262707,abiotic,biotic
5946,-12.9645901588889,-6.17810976149319,abiotic,biotic
5947,-12.8581059911111,-6.07865186559581,abiotic,abiotic
5948,-12.61056295,-9.11646501459948,biotic,abiotic
