Analysis,avg_calib_d18O16O,avg_d13C12C,biotic,pred
2962,-5.95720625248031,-10.9508220488889,biotic,abiotic
2963,-6.65173557578918,-11.9216775244444,biotic,biotic
2965,-3.66365417049865,-13.5663817422222,biotic,abiotic
2966,-5.80027647405,-11.0984557555556,biotic,abiotic
2970,-3.79178303528136,-13.5696767455556,biotic,abiotic
2972,-6.29907161822478,-11.7036672,biotic,biotic
2973,-3.77381790790443,-13.7576544955556,biotic,biotic
2975,-5.79561361685642,-10.2737282127778,biotic,biotic
2976,-6.22151965891514,-11.9509188055556,biotic,biotic
2978,-6.37524643331041,-11.5887532188889,biotic,biotic
2979,-3.77877513027249,-11.2055678511111,biotic,biotic
2981,-3.74795652367093,-11.3241921444444,biotic,biotic
2983,-6.06818328268206,-11.9094940433333,biotic,biotic
2984,-5.73068674847088,-11.3548480177778,biotic,abiotic
2985,-3.7964238530858,-11.3102270755556,biotic,biotic
2986,-3.91727710797141,-13.6740059855556,biotic,biotic
2989,-5.70183980343995,-10.3650724955556,biotic,biotic
2990,-3.79881706011412,-11.26257598,biotic,biotic
2992,-6.05822864160686,-11.8644605866667,biotic,biotic
2993,-3.93635452423763,-13.74228158,biotic,biotic
2995,-6.2614454570977,-11.5465919511111,biotic,biotic
2996,-5.9357224483616,-11.8389821211111,biotic,abiotic
2998,-5.63586634751113,-10.3390775655556,biotic,biotic
3001,-3.91201188293419,-13.6396812322222,biotic,abiotic
3231,-3.19761621544598,-10.9971480411111,abiotic,abiotic
3232,-3.28436408850413,-13.6706194344444,abiotic,abiotic
3233,-3.24071637224159,-10.9927729166667,abiotic,abiotic
3234,-3.25223805853578,-13.8909242133333,abiotic,abiotic
3240,-5.87425193576117,-11.9224540866667,abiotic,abiotic
3241,-5.93134208148599,-11.6328333,abiotic,abiotic
3250,-5.81403476600558,-11.9772244633333,abiotic,abiotic
3253,-3.31356948623517,-10.99595332,abiotic,abiotic
3255,-3.50628188533695,-13.9277736444444,abiotic,abiotic
3256,-3.4137370266339,-13.9307178944444,abiotic,abiotic
3257,-3.34575934910761,-11.0114897066667,abiotic,abiotic
3259,-5.88423964372682,-11.6663239122222,abiotic,abiotic
3260,-5.87336358017397,-11.94201558,abiotic,abiotic
3261,-3.32440287646906,-13.7067253755556,abiotic,abiotic
3263,-5.79676552606244,-11.9132071366667,abiotic,abiotic
3265,-3.25735946233347,-10.9572023466667,abiotic,abiotic
3267,-3.30270787778677,-11.0068601133333,abiotic,abiotic
3268,-3.35002829763989,-13.7229123266667,abiotic,abiotic
3269,-3.36627840915257,-13.9575394433333,abiotic,abiotic
3272,-5.63386609346866,-11.4776983711111,abiotic,abiotic
3274,-5.82574277515386,-11.9155694511111,abiotic,abiotic
4922,-3.83658314858066,-12.6112682111111,abiotic,abiotic
4924,-5.76046629603672,-11.7179595922222,abiotic,abiotic
4929,-4.07531668579691,-12.8425105255556,abiotic,abiotic
4932,-4.14104581892315,-12.8629341011111,abiotic,abiotic
4933,-5.73796392791507,-11.6455319177778,abiotic,abiotic
4935,-3.58679472475806,-13.29435136,abiotic,abiotic
4936,-3.79255012758458,-13.6391286377778,abiotic,biotic
4940,-4.22644692622967,-12.3595107522222,abiotic,abiotic
4941,-5.90620978443084,-11.4774773222222,abiotic,abiotic
4942,-3.64848477641137,-10.8529056511111,abiotic,abiotic
4946,-3.94992497578586,-13.6549201588889,abiotic,biotic
4947,-4.23621009787225,-12.8719624033333,abiotic,abiotic
4948,-5.95684107168742,-11.0908802077778,abiotic,biotic
4949,-5.88891920226538,-11.0291228777778,abiotic,biotic
4950,-5.95463653667767,-11.4443450155556,abiotic,abiotic
4951,-5.7685041581844,-11.6667473933333,abiotic,abiotic
4952,-3.71452069328453,-10.8085151355556,abiotic,abiotic
4953,-3.84211443954679,-13.5814207988889,abiotic,abiotic
4954,-3.76626920716516,-13.2751957955556,abiotic,biotic
4958,-6.01549429750943,-10.94239987,abiotic,biotic
4960,-3.87678049887967,-13.5870289188889,abiotic,abiotic
4961,-3.96888757958077,-13.57004513,abiotic,abiotic
4962,-4.25204381249004,-12.4682382377778,abiotic,abiotic
4963,-4.37081990857307,-12.3561821511111,abiotic,abiotic
4964,-3.9497538249257,-13.6191854122222,abiotic,abiotic
4965,-3.85178864981149,-10.8803509522222,abiotic,abiotic
4966,-5.98839866041489,-11.67497735,abiotic,abiotic
4968,-4.30893120550564,-12.8276289988889,abiotic,abiotic
4969,-4.28439227812348,-12.8290384333333,abiotic,abiotic
4970,-4.38973129266472,-12.8506424911111,abiotic,abiotic
4973,-3.8575616554598,-13.23010514,abiotic,abiotic
5759,-10.1686353268575,-13.2846818522222,abiotic,abiotic
5764,-6.21096540107366,-13.7644252366667,abiotic,abiotic
5766,-6.12338811321449,-13.7208484333333,abiotic,abiotic
5768,-7.95110675193764,-13.5662299222222,abiotic,abiotic
5769,-7.86573373799808,-13.44253789,abiotic,abiotic
5771,-7.94117667500583,-12.7947493611111,abiotic,abiotic
5774,-6.18026071859552,-13.6279809222222,abiotic,abiotic
5779,-5.99570814991453,-13.6196433355556,abiotic,abiotic
5780,-8.091729332851,-13.4117764722222,abiotic,abiotic
5782,-6.2671157263973,-13.8658994277778,abiotic,abiotic
5784,-6.86258686397189,-13.6661623811111,abiotic,abiotic
